"ID","HASH","NAME_USA","NAME_EUR","NAME_JAP","GENRE","DEVELOPER","YEAR","PLAYERS"
"42","0xa9902dc5","Ristar","Ristar","Ristar: The Shooting Star","?","?","1995","1"
"42","0x75a3d381","Ristar","Ristar","Ristar: The Shooting Star","?","?","1995","1"
"43","0x898a82a8","The Lost Vikings","The Lost Vikings","Lost Vikings, The","?","?","1994","3"
"44","0x43866f57","Shining Force II","Shining Force II","Shining Force II: Inishie no Fuuin","?","?","1993","1"
"44","0x1b6faf14","Shining Force II","Shining Force II","Shining Force II: Inishie no Fuuin","?","?","1993","1"
"45","0x22a8168f","Ghouls'n Ghosts","Ghouls'n Ghosts","Dai-Makaimura","?","?","1989","1"
"45","0x8b9ce356","Ghouls'n Ghosts","Ghouls'n Ghosts","Dai-Makaimura","?","?","1989","1"
"45","0xe20693ca","Ghouls'n Ghosts","Ghouls'n Ghosts","Dai-Makaimura","?","?","1989","1"
"45","0xf28aec9c","Ghouls'n Ghosts","Ghouls'n Ghosts","Dai-Makaimura","?","?","1989","1"
"45","0x4e9f39df","Ghouls'n Ghosts","Ghouls'n Ghosts","Dai-Makaimura","?","?","1989","1"
"45","0xd7966865","Ghouls'n Ghosts","Ghouls'n Ghosts","Dai-Makaimura","?","?","1989","1"
"46","0xad9a81de","World of Illusion Starring Mickey Mouse and Donald Duck","World of Illusion Starring Mickey Mouse and Donald","World of Illusion: Fushigi na Magic Box","?","?","1992","2"
"46","0x98565d0b","World of Illusion Starring Mickey Mouse and Donald Duck","World of Illusion Starring Mickey Mouse and Donald","World of Illusion: Fushigi na Magic Box","?","?","1992","2"
"46","0xde1a3e94","World of Illusion Starring Mickey Mouse and Donald Duck","World of Illusion Starring Mickey Mouse and Donald","World of Illusion: Fushigi na Magic Box","?","?","1992","2"
"46","0x2ad5d793","World of Illusion Starring Mickey Mouse and Donald Duck","World of Illusion Starring Mickey Mouse and Donald","World of Illusion: Fushigi na Magic Box","?","?","1992","2"
"47","0xbf3367e","Tintin au Tibet","Tintin au Tibet","Tintin au Tibet","?","?","1995","1"
"47","0x510d8a41","Tintin au Tibet","Tintin au Tibet","Tintin au Tibet","?","?","1995","1"
"48","0x35457c2","Ultimate Mortal Kombat 3","Ultimate Mortal Kombat 3","Ultimate Mortal Kombat 3","?","?","1996","2"
"50","0xa9ee07f6","Light Crusader","Light Crusader","Light Crusader","?","?","1995","1"
"51","0x36ce6965","Shining Force","Shining Force","Shining Force: Kamigami no Isan","?","?","1992","1"
"51","0x8d2f0a20","Shining Force","Shining Force","Shining Force: Kamigami no Isan","?","?","1992","1"
"51","0x60c84029","Shining Force","Shining Force","Shining Force: Kamigami no Isan","?","?","1992","1"
"52","0xae2e3ead","The Adventures of Batman & Robin","The Adventures of Batman & Robin","Adventures of Batman and Robin, The","?","?","1995","2"
"53","0x2008ba8c","Alisia Dragoon","Alisia Dragoon","Alisia Dragoon","?","?","1992","1"
"54","0x15516033","Phantasy Star II","Phantasy Star II","Phantasy Star II: Kaerazaru Toki no Owari ni","?","?","1989","1"
"54","0x3007f619","Phantasy Star II","Phantasy Star II","Phantasy Star II: Kaerazaru Toki no Owari ni","?","?","1989","1"
"54","0x49fe30b4","Phantasy Star II","Phantasy Star II","Phantasy Star II: Kaerazaru Toki no Owari ni","?","?","1989","1"
"54","0xd0f7610e","Phantasy Star II","Phantasy Star II","Phantasy Star II: Kaerazaru Toki no Owari ni","?","?","1989","1"
"55","0xca61b6c9","Lightening Force: Quest for the Darkstar","Thunder Force Iv 4","Thunder Force IV","?","?","1992","1"
"55","0xe1a1423d","Lightening Force: Quest for the Darkstar","Thunder Force Iv 4","Thunder Force IV","?","?","1992","1"
"56","0xeee0574e","The Smurfs","The Smurfs","Les Schtroumpfs","?","?","1994","1"
"57","0x70670dc1","Street Fighter II': Special Champion Edition","Street Fighter II': Special Champion Edition","Street Fighter 2' - Special Champion Edition","?","?","1993","2"
"57","0x4040acaf","Street Fighter II': Special Champion Edition","Street Fighter II': Special Champion Edition","Street Fighter 2' - Special Champion Edition","?","?","1993","2"
"57","0xa1f0f088","Street Fighter II': Special Champion Edition","Street Fighter II': Special Champion Edition","Street Fighter 2' - Special Champion Edition","?","?","1993","2"
"57","0x5675ade7","Street Fighter II': Special Champion Edition","Street Fighter II': Special Champion Edition","Street Fighter 2' - Special Champion Edition","?","?","1993","2"
"58","0xe77f4b9f","Fantasia","Fantasia","Fantasia - Mickey Mouse Magic","?","?","1991","1"
"58","0xe844b25f","Fantasia","Fantasia","Fantasia - Mickey Mouse Magic","?","?","1991","1"
"58","0x9f4382c9","Fantasia","Fantasia","Fantasia - Mickey Mouse Magic","?","?","1991","1"
"59","0xb635a856","X-Men 2: Clone Wars","X-Men 2: Clone Wars","X-Men 2: Clone Wars","?","?","1995","2"
"60","0xd3839782","Teenage Mutant Ninja Turtles: The Hyperstone Heist","Teenage Mutant Hero Turtles: The Hyperstone Heist","Teenage Mutant Ninja Turtles: Return of the Shredder","?","?","1992","2"
"60","0x99a1eaed","Teenage Mutant Ninja Turtles: The Hyperstone Heist","Teenage Mutant Hero Turtles: The Hyperstone Heist","Teenage Mutant Ninja Turtles: Return of the Shredder","?","?","1992","2"
"60","0x70355413","Teenage Mutant Ninja Turtles: The Hyperstone Heist","Teenage Mutant Hero Turtles: The Hyperstone Heist","Teenage Mutant Ninja Turtles: Return of the Shredder","?","?","1992","2"
"61","0xb15d3c5a","Golden Axe 3","Golden Axe 3","Golden Axe 3","?","?","1993","2"
"62","0x179896","Batman: The Video Game","Batman: The Video Game","Batman","?","?","1990","1"
"62","0x43e6d91d","Batman: The Video Game","Batman: The Video Game","Batman","?","?","1990","1"
"63","0x3347d869","Desert Strike: Return to the Gulf","Desert Strike: Return to the Gulf","Desert Strike: Wangan Sakusen","?","?","1992","1"
"63","0x5fb2a54e","Desert Strike: Return to the Gulf","Desert Strike: Return to the Gulf","Desert Strike: Wangan Sakusen","?","?","1992","1"
"63","0xdb7d5bf3","Desert Strike: Return to the Gulf","Desert Strike: Return to the Gulf","Desert Strike: Wangan Sakusen","?","?","1992","1"
"64","0xe62fe7ec","Earthworm Jim 2","Earthworm Jim 2","Earthworm Jim 2","?","?","0","1"
"65","0x5814fe4e","Spider-Man & Venom: Maximum Carnage","Spider-Man & Venom: Maximum Carnage","Spider-man And Venom - Maximum Carnage","?","?","1994","1"
"65","0x505342fd","Spider-Man & Venom: Maximum Carnage","Spider-Man & Venom: Maximum Carnage","Spider-man And Venom - Maximum Carnage","?","?","1994","1"
"66","0xd5e4b013","Lemmings","Lemmings","Lemmings","?","?","1992","2"
"66","0xd1037d0a","Lemmings","Lemmings","Lemmings","?","?","1992","2"
"66","0xa6044d9c","Lemmings","Lemmings","Lemmings","?","?","1992","2"
"67","0xd6ffb04b","Mr. Nutz","Mr. Nutz","Mr. Nutz","?","?","1994","1"
"68","0x9cbddd4c","Tetris","Tetris","Tetris","?","?","1989","2"
"69","0xf1375c1e","Contra: Hard Corps","Probotector","Contra: The Hard Corps","?","?","1994","2"
"69","0x9d9eaef7","Contra: Hard Corps","Probotector","Contra: The Hard Corps","?","?","1994","2"
"69","0x46be4fc6","Contra: Hard Corps","Probotector","Contra: The Hard Corps","?","?","1994","2"
"70","0xdaf1c3e8","Donald In Maui Mallard","Donald In Maui Mallard","Donald In Maui Mallard","?","?","1991","1"
"71","0x2efeaa","Dr. Robotnik's Mean Bean Machine","Dr. Robotnik's Mean Bean Machine","Dr. Robotnik's Mean Bean Machine","?","?","1993","2"
"71","0x112530a4","Dr. Robotnik's Mean Bean Machine","Dr. Robotnik's Mean Bean Machine","Dr. Robotnik's Mean Bean Machine","?","?","1993","2"
"72","0xea5e798a","Rocket Knight Adventures","Rocket Knight Adventures","Rocket Knight Adventures","?","?","1993","1"
"74","0xed8c46d2","Toy Story","Toy Story","Toy Story","?","?","1996","1"
"75","0x7e4d8b9e","The Jungle Book","The Jungle Book","Jungle Book, The","?","?","1994","1"
"76","0x27c45aa9","Last Battle","Last Battle","Hokuto no Ken: Shin Seikimatsu Kyuuseishu Densetsu","?","?","1989","1"
"76","0xd8c2a2fd","Last Battle","Last Battle","Hokuto no Ken: Shin Seikimatsu Kyuuseishu Densetsu","?","?","1989","1"
"77","0x6bfe1318","Phantasy Star III: Generations of Doom","Phantasy Star III: Generations of Doom","Toki no Keishousha: Phantasy Star III","?","?","1990","1"
"77","0x8abd8f55","Phantasy Star III: Generations of Doom","Phantasy Star III: Generations of Doom","Toki no Keishousha: Phantasy Star III","?","?","1990","1"
"78","0x39a48339","Strider","Strider","Strider Hiryuu","?","?","1990","1"
"78","0xe50e018c","Strider","Strider","Strider Hiryuu","?","?","1990","1"
"79","0x5299987d","Tiny Toon Adventures: Buster's Hidden Treasure","Tiny Toon Adventures: Buster's Hidden Treasure","Tiny Toon Adventures: Buster's Hidden Treasure","?","?","1993","1"
"80","0x4ae00dd4","Super Street Fighter II","Super Street Fighter II","Super Street Fighter II: The New Challengers","?","?","1994","2"
"80","0x2e902fcc","Super Street Fighter II","Super Street Fighter II","Super Street Fighter II: The New Challengers","?","?","1994","2"
"80","0x9503a7c5","Super Street Fighter II","Super Street Fighter II","Super Street Fighter II: The New Challengers","?","?","1994","2"
"81","0xc0d02875","Sunset Riders","Sunset Riders","Sunset Riders","?","?","1992","2"
"82","0x6c170520","Shadow Dancer: The Secret of Shinobi","Shadow Dancer: The Secret of Shinobi","Shadow Dancer: The Secret of Shinobi","?","?","1990","1"
"83","0xdabc42b0","Eternal Champions","Eternal Champions","Eternal Champions","?","?","1993","2"
"84","0xdb0cf935","RoboCop versus The Terminator","RoboCop versus The Terminator","RoboCop versus The Terminator","?","?","1993","1"
"84","0x80b6f8b5","RoboCop versus The Terminator","RoboCop versus The Terminator","RoboCop versus The Terminator","?","?","1993","1"
"85","0x963d6c41","Ghostbusters","Ghostbusters","Ghostbusters","?","?","1990","1"
"85","0xa65ef5f9","Ghostbusters","Ghostbusters","Ghostbusters","?","?","1990","1"
"85","0xd159c56f","Ghostbusters","Ghostbusters","Ghostbusters","?","?","1990","1"
"86","0x14999c5a","Asterix and the Great Rescue","Asterix and the Great Rescue","Asterix and the Great Rescue","?","?","1993","1"
"87","0x8f431025","Zombies Ate My Neighbors","Zombies Ate My Neighbors","Zombies","?","?","1993","2"
"87","0x86537722","Zombies Ate My Neighbors","Zombies Ate My Neighbors","Zombies","?","?","1993","2"
"88","0x59bf0e54","Golden Axe 2","Golden Axe 2","Golden Axe 2","?","?","1991","2"
"89","0xc8050fae","Gunstar Heroes","Gunstar Heroes","Gunstar Heroes","?","?","1993","2"
"90","0x83b050d8","Shining in the Darkness","Shining in the Darkness","Shining and the Darkness","?","?","1991","1"
"90","0x5a4fe0e","Shining in the Darkness","Shining in the Darkness","Shining and the Darkness","?","?","1991","1"
"91","0xfad89a01","Dragon: The Bruce Lee Story","Dragon: The Bruce Lee Story","Dragon: The Bruce Lee Story","?","?","1994","3"
"92","0x65175600","Batman Forever","Batman Forever","Batman Forever","?","?","1995","2"
"93","0x3659c4d0","Dune: The Battle for Arrakis","Dune II: The Battle for Arrakis","Dune 2 - Battle For Arrakis","?","?","1994","1"
"93","0x3d64d5e","Dune: The Battle for Arrakis","Dune II: The Battle for Arrakis","Dune 2 - Battle For Arrakis","?","?","1994","1"
"93","0x6632c729","Dune: The Battle for Arrakis","Dune II: The Battle for Arrakis","Dune 2 - Battle For Arrakis","?","?","1994","1"
"93","0x782a4a9","Dune: The Battle for Arrakis","Dune II: The Battle for Arrakis","Dune 2 - Battle For Arrakis","?","?","1994","1"
"94","0x8b17e4ee","Jurassic Park: Rampage Edition","Jurassic Park: Rampage Edition","Jurassic Park: Rampage Edition","?","?","1994","1"
"95","0xe6e2d5d9","Ecco: The Tides of Time","Ecco: The Tides of Time","Ecco the Dolphin II","?","?","1994","1"
"95","0x3c0b82b9","Ecco: The Tides of Time","Ecco: The Tides of Time","Ecco the Dolphin II","?","?","1994","1"
"95","0x39e19b2f","Ecco: The Tides of Time","Ecco: The Tides of Time","Ecco the Dolphin II","?","?","1994","1"
"96","0xff17c3bb","Misadventures of Flink, The","Misadventures of Flink, The","Flink","?","?","1994","1"
"97","0xb42184b8","Virtua Racing","Virtua Racing","Virtua Racing","?","?","1994","2"
"98","0xe1b92e20","Eliminate Down","Eliminate Down","Eliminate Down","?","?","1993","1"
"98","0xda94999d","Eliminate Down","Eliminate Down","Eliminate Down","?","?","1993","1"
"99","0x9685d284","Virtua Fighter 2","Virtua Fighter 2","Virtua Fighter 2","?","?","1997","2"
"99","0x388037bb","Virtua Fighter 2","Virtua Fighter 2","Virtua Fighter 2","?","?","1997","2"
"100","0xccc5cf0b","Asterix And The Power Of The Gods","Asterix And The Power Of The Gods","Asterix And The Power Of The Gods","?","?","1995","1"
"101","0x2df7c699","Toki: Going Ape Spit","Toki: Going Ape Spit","JuJu Densetsu","?","?","1991","2"
"101","0xff10807e","Toki: Going Ape Spit","Toki: Going Ape Spit","JuJu Densetsu","?","?","1991","2"
"101","0x7f1aeeba","Toki: Going Ape Spit","Toki: Going Ape Spit","JuJu Densetsu","?","?","1991","2"
"102","0x8fdbbaf4","Road Rash II","Road Rash II","Road Rash II","?","?","1992","2"
"102","0x222fe533","Road Rash II","Road Rash II","Road Rash II","?","?","1992","2"
"102","0xcc21841f","Road Rash II","Road Rash II","Road Rash II","?","?","1992","2"
"103","0x1bbe2e05","Batman Returns","Batman Returns","Batman Returns","?","?","1992","1"
"104","0xa7bd5360","Cool Spot","Cool Spot","Cool Spot","?","?","1994","1"
"105","0x3e3b0dcc","Jungle Strike: The Sequel to Desert Strike","Jungle Strike: The Sequel to Desert Strike","Jungle Strike: Uketsugareta Kyouki","?","?","1993","1"
"105","0xdc603fe5","Jungle Strike: The Sequel to Desert Strike","Jungle Strike: The Sequel to Desert Strike","Jungle Strike: Uketsugareta Kyouki","?","?","1993","1"
"106","0x57aa8b66","Alien Storm","Alien Storm","Alien Storm","?","?","1991","2"
"107","0xee52b98d","The Lost World: Jurassic Park","The Lost World: Jurassic Park","Lost World - Jurassic Park, The","?","?","1997","2"
"109","0xbf5c5300","FIFA Soccer 95","FIFA Soccer 95","FIFA Soccer 95","?","?","1994","4"
